//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-162.86599731,48.21300125,0.46300000,139,117,93,0.000000,39.000000,-140682.843750,2.000000,3.000000,52.000000,1.000000
-162.37199402,48.14400101,0.41999999,144,124,87,0.000000,6.000000,-140682.843750,1.000000,2.000000,52.000000,1.000000
-164.97000122,52.81399918,1.37199998,132,117,88,0.000000,32.000000,-140682.843750,1.000000,2.000000,56.000000,1.000000
-161.55599976,48.02799988,2.80200005,156,122,87,0.000000,16.000000,-140682.828125,1.000000,2.000000,64.000000,1.000000
-162.13099670,49.58499908,5.52400017,135,118,88,0.000000,5.000000,-140682.828125,1.000000,2.000000,77.000000,1.000000
-164.42700195,52.66600037,1.34599996,157,133,99,0.000000,25.000000,-140682.828125,1.000000,2.000000,56.000000,1.000000
-160.97399902,47.91400146,2.73000002,148,128,95,0.000000,15.000000,-140682.828125,1.000000,3.000000,64.000000,1.000000
-161.10000610,47.64400101,0.38100001,129,113,80,0.000000,47.000000,-140682.828125,2.000000,3.000000,52.000000,1.000000
-160.22999573,47.62500000,2.70600009,160,142,104,0.000000,21.000000,-140682.812500,1.000000,2.000000,63.000000,1.000000
-160.81399536,49.19800186,5.44999981,144,123,94,0.000000,6.000000,-140682.812500,1.000000,2.000000,77.000000,1.000000
-163.10499573,52.28799820,1.31200004,141,118,84,0.000000,13.000000,-140682.812500,1.000000,2.000000,56.000000,1.000000
-159.74099731,47.54899979,2.70300007,173,153,100,0.000000,7.000000,-140682.812500,1.000000,3.000000,63.000000,1.000000
-159.86500549,47.27799988,0.35299999,111,104,88,0.000000,40.000000,-140682.812500,2.000000,3.000000,52.000000,1.000000
-159.31900024,47.17599869,0.33199999,98,87,67,0.000000,7.000000,-140682.796875,1.000000,2.000000,52.000000,1.000000
-161.92999268,51.86600113,1.25999999,135,106,74,0.000000,43.000000,-140682.796875,1.000000,2.000000,56.000000,1.000000
-158.43499756,47.11700058,2.69499993,162,136,111,0.000000,16.000000,-140682.796875,1.000000,3.000000,63.000000,1.000000
-158.55900574,46.83900070,0.29300001,125,105,81,0.000000,17.000000,-140682.796875,2.000000,3.000000,51.000000,1.000000
-157.67900085,46.83100128,2.62400007,157,125,102,0.000000,18.000000,-140682.781250,1.000000,3.000000,63.000000,1.000000
